id,name,number,lon,lat,count,accessible
"109",Strathcona Junction,5151,-113.495,53.5078,0,"3"
"110",Griesbach,3111,-113.504,53.6068,2,"2"
"111",Hollick-Kenyon,2340,-113.423,53.6226,0,"0"
"112",Carter Crest,5130,-113.578,53.4639,0,"1"
"113",Coronet Industrial,6100,-113.479,53.4928,0,"3"
"114",Tamarack,6443,-113.362,53.4667,0,"0"
"115",Rosedale Industrial,6650,-113.479,53.4986,0,"1"
"116",Kilkenny,2410,-113.455,53.611,5,"7"
"117",Mayliewan,2511,-113.461,53.6223,0,"0"
"118",Caernarvon,3060,-113.527,53.6116,1,"1"
"119",Papaschase Industrial,6560,-113.479,53.4846,0,"3"
"120",Calgary Trail North,5110,-113.494,53.4911,0,"4"
"121",Ellerslie,6211,-113.457,53.4284,0,"0"
"122",Blackburne,5590,-113.503,53.4301,0,"0"
"123",Virginia Park,1240,-113.452,53.5614,1,"5"
"124",Place LaRue,4400,-113.634,53.5393,0,"0"
"125",La Perle,4240,-113.64,53.5334,1,"1"
"126",Carleton Square Industrial,4100,-113.608,53.5728,0,"0"
"127",Calgary Trail South,5120,-113.494,53.4697,0,"0"
"128",Lymburn,4270,-113.642,53.5075,1,"2"
"129",White Industrial,4630,-113.647,53.5647,0,"0"
"130",Gariepy,4160,-113.622,53.4938,1,"4"
"131",Henderson Estates,5230,-113.599,53.4677,0,"1"
"132",Glenora,3200,-113.556,53.5451,2,"5"
"133",Blue Quill,5060,-113.526,53.4578,1,"1"
"134",Hodgson,5620,-113.56,53.4576,0,"0"
"135",Rideau Park,5360,-113.508,53.479,2,"7"
"136",Duggan,5160,-113.506,53.4718,1,"4"
"137",Hairsine,2320,-113.39,53.6038,1,"3"
"138",Jackson Heights,6330,-113.409,53.4831,1,"1"
"139",Edmonton Northlands,1120,-113.457,53.567,0,"0"
"140",Richford,5451,-113.508,53.4269,0,"0"
"141",Parkdale,1160,-113.471,53.5663,1,"5"
"142",Bannerman,2030,-113.379,53.6037,2,"3"
"143",Belle Rive,2050,-113.474,53.6222,0,"0"
"144",Skyrattler,5460,-113.523,53.4512,0,"1"
"145",Bisset,6030,-113.401,53.4589,1,"4"
"146",CPR Irvine,6110,-113.49,53.5076,0,"3"
"147",Ritchie,6610,-113.481,53.513,3,"8"
"148",Lorelei,3280,-113.503,53.6249,3,"3"
"149",Mill Creek Ravine South,6492,-113.466,53.5091,0,"0"
"150",Avonmore,6020,-113.453,53.509,0,"4"
"151",Cumberland,3150,-113.552,53.611,0,"0"
"152",Dunluce,3180,-113.529,53.6224,1,"1"
"153",Kensington,3250,-113.529,53.5958,1,"1"
"154",Beaumaris,3040,-113.505,53.618,0,"3"
"155",Whitemud Creek Ravine South,5560,-113.554,53.4689,0,"0"
"156",Carlisle,3090,-113.525,53.6036,0,"0"
"157",Winterburn Industrial Area East,4650,-113.676,53.5563,0,"0"
"158",Yellowhead Corridor East,1270,-113.465,53.5819,0,"2"
"159",Elmwood Park,1130,-113.461,53.5798,0,"2"
"160",Patricia Heights,4390,-113.597,53.5093,1,"4"
"161",Bulyea Heights,5100,-113.569,53.475,1,"1"
"162",River Valley Rundle,2650,-113.385,53.5614,0,"0"
"163",Webber Greens,4740,-113.676,53.5308,0,"1"
"164",Albany,3460,-113.55,53.6317,0,"0"
"165",Callaghan,5457,-113.526,53.408,0,"0"
"166",Elsinore,3190,-113.499,53.6403,0,"0"
"167",McArthur Industrial,3290,-113.566,53.5938,0,"0"
"168",Stewart Greens,4486,-113.67,53.5374,0,"1"
"169",Clareview Town Centre,2145,-113.407,53.602,0,"2"
"170",Kennedale Industrial,2380,-113.425,53.5893,0,"1"
"171",Sifton Park,2710,-113.408,53.5944,1,"2"
"172",Delwood,2230,-113.455,53.596,1,"2"
"173",River Valley Mayfair,5370,-113.545,53.5292,0,"0"
"174",Windsor Park,5580,-113.535,53.5246,1,"1"
"175",Lewis Farms Industrial,4485,-113.68,53.5365,1,"1"
"176",MacEwan,5452,-113.527,53.4284,0,"0"
"177",Central McDougall,1030,-113.501,53.5534,3,"3"
"178",Boyle Street,1020,-113.479,53.5489,0,"5"
"179",Eaux Claires,2241,-113.486,53.6217,0,"0"
"180",Gold Bar,6270,-113.412,53.5479,1,"5"
"181",Brookside,5090,-113.567,53.4905,1,"4"
"182",Lynnwood,4280,-113.588,53.5161,1,"3"
"183",Balwin,2020,-113.455,53.5883,3,"3"
"184",Abbottsfield,2010,-113.39,53.5737,1,"3"
"185",Overlanders,2590,-113.389,53.5814,1,"2"
"186",Meyokumin,6460,-113.427,53.4497,2,"2"
"187",Hawin Park Estate Industrial,4190,-113.596,53.5742,0,"0"
"188",Baturyn,3030,-113.505,53.6321,1,"1"
"189",Pollard Meadows,6580,-113.412,53.4491,2,"5"
"190",Sakaw,6670,-113.429,53.4418,1,"1"
"191",Beverly Heights,2100,-113.404,53.5661,4,"8"
"192",Blatchford Area,1111,-113.516,53.5731,1,"1"
"193",Paisley,5469,-113.559,53.414,0,"0"
"194",Graydon Hill,5468,-113.559,53.4213,0,"0"
"195",Heritage Valley Area,5456,-113.547,53.4176,0,"0"
"196",Charlesworth,6661,-113.418,53.4286,1,"1"
"197",Belvedere,2080,-113.434,53.5937,2,"3"
"198",Brintnell,2110,-113.407,53.6214,0,"0"
"199",Walker,6662,-113.43,53.4176,0,"1"
"200",River Valley Oleskiw,4451,-113.602,53.4888,0,"0"
"201",Edmonton Research and Development Park,6190,-113.473,53.4458,0,"0"
"202",River Valley Lessard North,4440,-113.596,53.5038,0,"0"
"203",Donsdale,4120,-113.635,53.485,0,"0"
"204",Westridge,4610,-113.605,53.5062,0,"1"
"205",Suder Greens,4730,-113.679,53.5248,0,"0"
"206",Granville,4551,-113.683,53.5047,0,"0"
"207",Terrace Heights,6730,-113.436,53.5411,1,"7"
"208",Lambton Industrial,6380,-113.413,53.5235,0,"0"
"209",Crawford Plains,6140,-113.407,53.4412,2,"2"
"210",Pylypow Industrial,6590,-113.406,53.4973,0,"0"
"211",Argyll,6010,-113.461,53.5025,0,"2"
"212",Strathcona Industrial Park,6700,-113.478,53.4738,0,"0"
"213",Tweddle Place,6760,-113.459,53.4786,2,"4"
"214",Montrose,2550,-113.442,53.5743,1,"5"
"215",Industrial Heights,2360,-113.435,53.5813,0,"0"
"216",Grandview Heights,5210,-113.548,53.5003,1,"4"
"217",Rundle Heights,2660,-113.391,53.5629,1,"5"
"218",Homesteader,2350,-113.406,53.5852,1,"2"
"219",Bergman,2090,-113.409,53.5789,0,"2"
"220",Baranow,3020,-113.538,53.6069,0,"0"
"221",Newton,2560,-113.424,53.5762,1,"4"
"222",Whitemud Creek Ravine North,5550,-113.558,53.4885,0,"1"
"223",Lansdowne,5260,-113.547,53.4873,1,"1"
"224",Steinhauer,5470,-113.505,53.4642,1,"4"
"225",Ogilvie Ridge,5300,-113.564,53.464,0,"1"
